Management,Type,Acres,District,Field Office,Name,Lease Status
Bureau of Land Management,National Monument,20.7541944917,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,129.658870852,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,2646.85624401,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,303.335642011,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,14.5139591500,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,639.192348442,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,831.030735384,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,17.8316351176,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,23.9580848411,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,1.94083944909,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,3.68906271076,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,85821.0647657,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,6961.64404691,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,3.90843502309,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,594.913382187,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,169.290670017,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,17.8454713806,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,57.9337299640,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.92118097384,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,2.24083034109,N/A,Dillon,,
Bureau of Land Management,National Monument,366.742527008,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,697.850522543,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,7.14067161308,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,560.366470137,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,2.09145160092,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,1209.17260898,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,2.97306623917,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.29823035638,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.57975020944,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.75019192935,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.90000860802,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.44754044532,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.95704280006,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.17364224172,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.68917598114,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,971.860359330,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,1.73587355133,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,10.0197421040,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,4.44186115107,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,5.91950135103,Idaho Falls,Upper Snake,,
Bureau of Land Management,National Monument,9.52718921565,Idaho Falls,Upper Snake,,
Bureau of Land Management,National Monument,2.43209530051,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,1.38239109607,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.38073567013,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.48980091375,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.93903079708,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,14.5224347493,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.00661459959,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.32686316493,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,6.95942452688,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.58359465033,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.90961571901,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.77728353451,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.97454216886,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.88806023006,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.25933521066,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,7.32941971092,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,6.42478393901,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.40819242946,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,11.3590035082,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.61820791270,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.72037845441,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.41492582783,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.28789121761,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.22881309770,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.79455707573,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.50910695336,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.87576152258,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,41.1224059192,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,2.37451016331,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.87092167984,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,12.8125581451,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,17.4128456528,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,6397.74598940,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.24745725559,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,24.2124730131,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,620.439116704,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,8.16152185332,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.21711516139,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.82409282310,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,51.2320927463,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,10.0926494841,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,611.067528855,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.16111771067,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,6094.72551987,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,81.8053699610,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,18.6601960295,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.72442006570,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4083.14006187,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.94783002337,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,20.3941303658,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,526.405700588,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.11822482601,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,62.8962960312,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.55240804447,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1987.51390674,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.08633424899,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.36114499081,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.16991996680,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.67358313758,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.51436259844,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,65.2705904327,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.01564158658,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,20.2904072304,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.70748563158,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,21.4109524431,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,10.6996142314,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.89572126908,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.80654145141,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.62492217262,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,185.110396671,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,72.0178222667,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.77256627730,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.23011728465,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,350.890834195,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3421.39279251,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,15.4046088286,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,25.0329976751,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,88.6186537927,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,13.7574991380,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.38516963048,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.11658946801,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,12.5181077714,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,170.951295749,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.24111715796,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.69849006084,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,15.9458085080,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,694.287232354,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,3.75285538701,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,202.816392055,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,29.1268910053,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.30764468466,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,12.6562106213,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,7.80480708922,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,113.700357961,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.91775743695,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1666.26848528,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,9.08592890558,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,577.763097686,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,1.07700615779,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,4.31907151807,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,7.16909377174,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,3895.30295415,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.69973191151,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,34.3975263052,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,13.8115968296,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.78116245405,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,36.3965338486,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,901.254207335,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.97144238350,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,1.08545049836,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,1620.34752840,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.83119910553,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.03595819269,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,6656.57976222,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.13216750693,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.63589137981,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,11.1737406739,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,6.99615162925,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1250.33339342,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,7.74885601546,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.33355509967,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.24574330523,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.94546516019,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,5.11484524817,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.01696045960,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,15.8478748011,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.07718271806,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.87576123332,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,9.02830088604,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.86122269249,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,7.61933816869,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.32367034315,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.69885472240,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,6766.15952897,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.02489700415,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,1.55912876957,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,1455.57628834,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.45599365152,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.11054345033,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.80036328613,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,15.1136918239,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,49.9302165890,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,15.5471038056,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,27.4454437455,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.11178300747,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,11.1073597814,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,8.75766218547,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,4.38460139291,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,17.6364378575,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,55.6106356073,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,676.840557856,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,9.97346929502,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.31855644840,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.09454206272,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,22.8387065494,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,15561.1786198,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.54170347348,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,13.6002090468,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.03891704208,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1266.85925275,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.46957334426,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,874.951971132,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,3.38736879734,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,5.59224433147,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,230.865874907,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,12.4173756691,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.45192998284,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,129.113359564,Twin Falls,Shoshone,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),10740.0904009,Twin Falls,Shoshone,Tee-Maze,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),3757.66239210,Twin Falls,Shoshone,McKinney Butte,OPEN
Bureau of Land Management,Wilderness Area,6183.84590470,N/A,Dillon,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),5772.09514329,Idaho Falls,Challis,Pennal Gulch,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),17946.5332945,Idaho Falls,Challis,Herd Creek Watershed RNA,OPEN
Bureau of Land Management,Island Park,13500.1949338,,,,
Bureau of Land Management,Wilderness Study Area,24887.6474867,Idaho Falls,Salmon,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),9977.61715326,Idaho Falls,Challis,Lone Bird,OPEN
Bureau of Land Management,National Wildlife Refuge,3.58961686968,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,444.038568471,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,25.2455831122,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,1.11481484077,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.72056830723,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.11823780459,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,6.70414998887,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,3.32335643064,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,742.237259174,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,4.23931147283,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,2.43383744675,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,11.7310887745,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.09012721876,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,6.15753424546,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.17716369954,N/A,Dillon,,
Bureau of Land Management,National Recreation Area,9.86832863823,Idaho Falls,Challis,,
Bureau of Land Management,Wilderness Study Area,5963.02789688,Twin Falls,Shoshone,,
Bureau of Land Management,National Recreation Area,1.24475325505,Idaho Falls,Challis,,
Bureau of Land Management,National Recreation Area,1.65215233869,Idaho Falls,Challis,,
Bureau of Land Management,National Recreation Area,1.33384523925,Idaho Falls,Challis,,
Bureau of Land Management,National Recreation Area,4.16613944111,Idaho Falls,Challis,,
Bureau of Land Management,National Wildlife Refuge,2.76243853138,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.73945953594,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,6.90486556688,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.32689934683,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.56720913712,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,3.40285085722,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,5.28773194412,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,5.11443562658,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,4.44738323498,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,14.1550163791,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,9970.93423110,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,4.94219534236,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,16.4779802264,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,6.65269182980,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,4.64042821405,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,7.05499601800,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.73444177608,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,5.03467326855,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.30396707844,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.62426436876,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.54560817926,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.42167572891,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,28.0231227076,N/A,Dillon,,
Bureau of Land Management,National Wildlife Refuge,1.90086008496,N/A,Dillon,,
Bureau of Land Management,Historic/Scenic Trail,18.8838805764,,Missoula,,
Bureau of Land Management,Historic/Scenic Trail,15091.4342310,,Butte,,
Bureau of Land Management,Historic/Scenic Trail,51366.3432530,,Dillon,,
Bureau of Land Management,Historic/Scenic Trail,42151.3199700,,Salmon,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),52.8399398033,Idaho Falls,Upper Snake,Henrys Lake,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),40.0125170890,Idaho Falls,Upper Snake,Henrys Lake,OPEN
Bureau of Land Management,Wilderness Study Area,2.23256153595,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,57.9222663315,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,30.8261495073,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,2.15201730882,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,5.25079870834,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,1.11470618974,Idaho Falls,Challis,,
Bureau of Land Management,Wilderness Study Area,337.217791481,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,46.7309649372,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,6.47616437358,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,3009.09306945,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,49.3897179718,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,57.6856770845,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,24.4008928810,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,5.17952640205,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,1.12778452623,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,41.1595570469,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,40.6569917283,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,3945.73218977,Idaho Falls,Challis,,
Bureau of Land Management,Wilderness Study Area,13724.1657970,Idaho Falls,Challis,,
Bureau of Land Management,Wilderness Study Area,7.68829704271,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,636.438599145,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,1793.96523114,Idaho Falls,Challis,,
Bureau of Land Management,Wilderness Study Area,3937.73664274,Idaho Falls,Challis,,
Bureau of Land Management,Wilderness Study Area,36.2209542199,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,8.39493574069,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,4.37838889669,Idaho Falls,Salmon,,
Bureau of Land Management,Wilderness Study Area,37.8547366139,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,3.02410840333,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,493.356657793,N/A,Missoula,,
Bureau of Land Management,Wilderness Study Area,3.62736534347,Idaho Falls,Salmon,,
Bureau of Land Management,Wilderness Study Area,1.67420144101,Idaho Falls,Salmon,,
Bureau of Land Management,Wilderness Study Area,56.1554486844,N/A,Butte,,
Bureau of Land Management,Wilderness Study Area,2051.50258393,N/A,Missoula,,
Bureau of Land Management,Wilderness Study Area,2.49663925644,N/A,Dillon,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),361.130044419,Idaho Falls,Challis,Thousand Springs RNA,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),109.376021243,Idaho Falls,Upper Snake,Henrys Lake,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),366.735831875,Idaho Falls,Upper Snake,Henrys Lake,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),278.669498725,Idaho Falls,Upper Snake,Henrys Lake,OPEN
Bureau of Land Management,Wilderness Study Area,5971.98795392,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,15442.9271719,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,5.85790804604,Idaho Falls,Salmon,,
Bureau of Land Management,Wilderness Study Area,1117.42002390,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,2.70185270151,N/A,Dillon,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),14.8493241662,Idaho Falls,Challis,Thousand Springs,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),69.2470125761,Idaho Falls,Upper Snake,Henrys Lake,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),78.0150429576,Idaho Falls,Challis,East Fork Salmon River Bench RNA,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.9601890861,Idaho Falls,Challis,Thousand Springs,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),304.474036023,Idaho Falls,Challis,Summit Creek RNA,UNKNOWN
Bureau of Land Management,Wilderness Study Area,3517.68721046,N/A,Butte,,
Bureau of Land Management,Wilderness Study Area,5806.87066803,N/A,Butte,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),323.599174249,Idaho Falls,Challis,Peck's Canyon RNA,OPEN
Bureau of Land Management,Wilderness Study Area,9474.75997172,N/A,Dillon,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),301.474530388,Idaho Falls,Upper Snake,Henrys Lake,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),80.3839418166,Idaho Falls,Upper Snake,Henrys Lake,OPEN
Bureau of Land Management,National Conservation Area,319.493622883,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,9.02889194676,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,365.716855043,California Desert,Ridgecrest,,
Bureau of Land Management,Wilderness Study Area,17263.4919904,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,20.7362704372,N/A,Dillon,,
Bureau of Land Management,National Conservation Area,1.74760357290,N/A,Bishop,,
Bureau of Land Management,National Conservation Area,57.8045325561,N/A,Bishop,,
Bureau of Land Management,National Conservation Area,672.146987697,N/A,Bishop,,
Bureau of Land Management,Wilderness Study Area,6912.89095080,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,9.12064758690,N/A,Dillon,,
Bureau of Land Management,Wilderness Study Area,2.85178399555,N/A,Dillon,,
